Hash,Condition,turn1,turn2,turn3,turn4
51117861,01-A,https://moduloresearch.com/debates/prolific_qp/1/1253638479c1a190d155ee6039f498917.html,https://moduloresearch.com/debates/prolific_qp/1/280dc11a02143c6682a3a4328445fbe64.html,https://moduloresearch.com/debates/prolific_qp/1/313a33d5f7cdae6d3d5b8935aeb88dcee.html,https://moduloresearch.com/debates/prolific_qp/1/4cf56605c3f949a00d761874b045e92ce.html
1aa1bce0,01-B,https://moduloresearch.com/debates/prolific_qp/1/5394cfa6f28ba255b6058566f39f113ae.html,https://moduloresearch.com/debates/prolific_qp/1/6c5bb1dd0dcd98f24a2b89ce5534215a7.html,https://moduloresearch.com/debates/prolific_qp/1/7697bd25cecce8d30d57aaa6070e8f143.html,https://moduloresearch.com/debates/prolific_qp/1/85363fa7b6df437aba84e69c8e4671d47.html
f7ddff9a,02-A,https://moduloresearch.com/debates/prolific_qp/2/1165fb7009c44f4ea4f63dc740eabda99.html,https://moduloresearch.com/debates/prolific_qp/2/255c3308b01ef80d4a92a2f197e6b2d4f.html,https://moduloresearch.com/debates/prolific_qp/2/3a39521e364985044c6fad4f857b072bc.html,https://moduloresearch.com/debates/prolific_qp/2/48056d872044d0b54ca3c8c94d7d164cd.html
b8f19cc1,02-B,https://moduloresearch.com/debates/prolific_qp/2/5d53dabb716baf98f4975d5536c870d78.html,https://moduloresearch.com/debates/prolific_qp/2/6a9eed829dd95e71ad2ddc14ce41924f3.html,https://moduloresearch.com/debates/prolific_qp/2/71a546b8b7ec611bb9da78608c1dd7d60.html,https://moduloresearch.com/debates/prolific_qp/2/846d67727cc033a93a4e1b78d656432c5.html
f2d59c99,03-A,https://moduloresearch.com/debates/prolific_qp/3/15f5528d8e3cca62c4095844ada1e81e9.html,https://moduloresearch.com/debates/prolific_qp/3/25d21c7bd8770db7f2b47ec0e32d2f8f9.html,https://moduloresearch.com/debates/prolific_qp/3/3671008f13f600fc96fe1abcf5a0fa8bd.html,https://moduloresearch.com/debates/prolific_qp/3/4f866251c98df2549d92149c661dad742.html
7c785862,03-B,https://moduloresearch.com/debates/prolific_qp/3/5aab8a8ca92ef4831e40d62e26870399a.html,https://moduloresearch.com/debates/prolific_qp/3/6a7174a294b3765949548988fc193e286.html,https://moduloresearch.com/debates/prolific_qp/3/7eefe0307e3745e577651eea49df07388.html,https://moduloresearch.com/debates/prolific_qp/3/8421ed8518692beacb15ccc7dd4541242.html
c34f1681,04-A,https://moduloresearch.com/debates/prolific_qp/4/11774f62b3ce4ed37edaf52a5b484bdb5.html,https://moduloresearch.com/debates/prolific_qp/4/253df870900c4deafffc621f03ad2255b.html,https://moduloresearch.com/debates/prolific_qp/4/357f9a6d88f367cef881d0cf751de3872.html,https://moduloresearch.com/debates/prolific_qp/4/4cf5bd191807ea64ac7f7ae3d2fb20671.html
7a63e865,04-B,https://moduloresearch.com/debates/prolific_qp/4/5f78aefac1f9238664dfd8d04b6d80719.html,https://moduloresearch.com/debates/prolific_qp/4/6d51e2a51c23bdcda40dbf919e6264c3d.html,https://moduloresearch.com/debates/prolific_qp/4/7029f8fa5be922aa73a8d96be164cf63a.html,https://moduloresearch.com/debates/prolific_qp/4/836fdfdf21871e7511997bafbaf60ed22.html
b1cce406,05-A,https://moduloresearch.com/debates/prolific_qp/5/13aab96781fa3289fa90c2413c35a61af.html,https://moduloresearch.com/debates/prolific_qp/5/2445c711c7cbb145a4fd74cc0812c2cfb.html,https://moduloresearch.com/debates/prolific_qp/5/31c323f2557bf4a63c2c31dbea2391889.html,https://moduloresearch.com/debates/prolific_qp/5/44e500f62187482207843217d3ae00d35.html
4c0792d6,05-B,https://moduloresearch.com/debates/prolific_qp/5/57b2866aa8397c98713299c10fa45f73a.html,https://moduloresearch.com/debates/prolific_qp/5/60484175fe7db439c3a3d1d70e5a7bbc5.html,https://moduloresearch.com/debates/prolific_qp/5/735f878be88cafc0a029e8ac6b52c8258.html,https://moduloresearch.com/debates/prolific_qp/5/808b86eba744bf567a13054edc8060b23.html
