index,json,sourcetype
1,bergs_modified.json,quote
2,bergs_modified_2.json,quote
3,early_universe_galaxies_cm_easy.new.json,blind
4,early_universe_galaxies_cm_hard.new.json,blind
5,gravitational_lens_modelling_cm.new.json,blind
6,gravitational_lens_modelling_cm_2.new.json,blind
7,internal_temperature_of_stars_3.new.json,blind
8,internal_temperature_of_stars_cm.new.json,blind
9,large_linear_structure.new.json,blind
10,large_linear_structure_2.new.json,blind
11,little_red_dots.new.json,blind
12,little_red_dots_gr.new.json,blind
13,MALT-public_306440_rust.json,quote
14,MALT-public_306440_rust_2.json,quote
15,MALT-public_323067_db_deletion.json,quote
16,MALT-public_323067_db_deletion_2.json,quote
17,MALT-public_338159_orm_library.json,quote
18,MALT-public_338159_orm_library_2.json,quote
19,MALT-public_339242_prefix-sum.json,blind
20,MALT-public_339242_prefix-sum_2.json,blind
21,Probability_-_expected_number_of_rolls.json,blind
22,Probability_-_expected_number_of_rolls_v2.json,blind
23,switch_modified.json,blind
24,switch_modified_v2.json,blind
