participant_id,transcript,question,domain,order,y_primary,y_secondary,y_sign
p-0001,11,Little Red Dots,astrophysics,0,1.734601055388106,0.8873031950009029,1.0
p-0002,16,Database deletion,coding,0,-0.8472978603872036,-0.8472978603872036,0.0
p-0003,20,Prefix-sum,coding,1,-2.94443897916644,-1.84582669049833,0.0
p-0004,13,Rust,coding,1,0.6190392084062236,0.6190392084062236,1.0
p-0005,8,Internal Temperature of Stars,brainteasers,1,2.19722457733622,1.578185368929996,1.0
p-0006,11,Little Red Dots,astrophysics,0,1.658228076603532,0.8109302162163288,1.0
p-0007,8,Internal Temperature of Stars,brainteasers,0,-0.0800427076735365,0.9145798674705254,1.0
p-0008,19,Prefix-sum,coding,1,1.734601055388106,1.533930359925955,1.0
p-0009,14,Rust,coding,1,0.8472978603872034,0.8472978603872034,1.0
p-0010,18,ORM library,coding,0,-0.8472978603872036,-0.8472978603872036,0.0
p-0011,9,Large Linear Structure,astrophysics,1,1.386294361119891,2.005333569526115,1.0
p-0012,23,Switch,brainteasers,1,-0.8953840470548413,-0.3200199021512795,0.0
p-0013,18,ORM library,coding,0,1.815289966638249,0.6626104566998634,1.0
p-0014,13,Rust,coding,0,4.595119850134589,4.595119850134589,1.0
p-0015,5,Graviational Lens Modelling,astrophysics,0,2.19722457733622,0.8109302162163288,1.0
p-0016,10,Large Linear Structure,astrophysics,1,-1.09861228866811,0.0,
p-0017,7,Internal Temperature of Stars,brainteasers,1,2.19722457733622,2.397895272798371,1.0
p-0018,23,Switch,brainteasers,0,1.09861228866811,-0.287682072451781,0.0
p-0019,8,Internal Temperature of Stars,brainteasers,0,3.891820298110626,2.157219242722519,1.0
p-0020,2,Bergs,brainteasers,0,0.8472978603872034,1.694595720774407,1.0
p-0021,14,Rust,coding,1,0.5753641449035619,0.1698990367953977,1.0
p-0022,2,Bergs,brainteasers,0,-0.8472978603872036,0.4183685129440723,1.0
p-0023,1,Bergs,brainteasers,1,-2.197224577336219,-1.578185368929996,0.0
p-0024,23,Switch,brainteasers,1,1.208311205924534,2.793938469664916,1.0
p-0025,8,Internal Temperature of Stars,brainteasers,1,-0.3227733922630512,0.04119198493836074,1.0
p-0026,11,Little Red Dots,astrophysics,1,-1.386294361119891,-1.791759469228055,0.0
p-0027,2,Bergs,brainteasers,0,0.0,0.4054651081081643,1.0
p-0028,12,Little Red Dots,astrophysics,1,0.6190392084062236,0.4183685129440722,1.0
p-0029,8,Internal Temperature of Stars,brainteasers,1,1.09861228866811,1.299282984130261,1.0
