participant_id,transcript,question,domain,order,section,section_is_4,p
p-0001,11,Little Red Dots,astrophysics,0,1,0,0.7
p-0001,11,Little Red Dots,astrophysics,0,4,1,0.85
p-0002,16,Database deletion,coding,0,1,0,0.5
p-0002,16,Database deletion,coding,0,4,1,0.3
p-0003,20,Prefix-sum,coding,1,1,0,0.25
p-0003,20,Prefix-sum,coding,1,4,1,0.05
p-0004,13,Rust,coding,1,1,0,0.5
p-0004,13,Rust,coding,1,4,1,0.65
p-0005,8,Internal Temperature of Stars,brainteasers,1,1,0,0.65
p-0005,8,Internal Temperature of Stars,brainteasers,1,4,1,0.9
p-0006,11,Little Red Dots,astrophysics,0,1,0,0.7
p-0006,11,Little Red Dots,astrophysics,0,4,1,0.84
p-0007,8,Internal Temperature of Stars,brainteasers,0,1,0,0.27
p-0007,8,Internal Temperature of Stars,brainteasers,0,4,1,0.48
p-0008,19,Prefix-sum,coding,1,1,0,0.55
p-0008,19,Prefix-sum,coding,1,4,1,0.85
p-0009,14,Rust,coding,1,1,0,0.5
p-0009,14,Rust,coding,1,4,1,0.7
p-0010,18,ORM library,coding,0,1,0,0.5
p-0010,18,ORM library,coding,0,4,1,0.3
p-0011,9,Large Linear Structure,astrophysics,1,1,0,0.35
p-0011,9,Large Linear Structure,astrophysics,1,4,1,0.8
p-0012,23,Switch,brainteasers,1,1,0,0.36
p-0012,23,Switch,brainteasers,1,4,1,0.29
p-0013,18,ORM library,coding,0,1,0,0.76
p-0013,18,ORM library,coding,0,4,1,0.86
p-0014,13,Rust,coding,0,1,0,0.5
p-0014,13,Rust,coding,0,4,1,0.99
p-0015,5,Graviational Lens Modelling,astrophysics,0,1,0,0.8
p-0015,5,Graviational Lens Modelling,astrophysics,0,4,1,0.9
p-0016,10,Large Linear Structure,astrophysics,1,1,0,0.25
p-0016,10,Large Linear Structure,astrophysics,1,4,1,0.25
p-0017,7,Internal Temperature of Stars,brainteasers,1,1,0,0.45
p-0017,7,Internal Temperature of Stars,brainteasers,1,4,1,0.9
p-0018,23,Switch,brainteasers,0,1,0,0.8
p-0018,23,Switch,brainteasers,0,4,1,0.75
p-0019,8,Internal Temperature of Stars,brainteasers,0,1,0,0.85
p-0019,8,Internal Temperature of Stars,brainteasers,0,4,1,0.98
p-0020,2,Bergs,brainteasers,0,1,0,0.3
p-0020,2,Bergs,brainteasers,0,4,1,0.7
p-0021,14,Rust,coding,1,1,0,0.6
p-0021,14,Rust,coding,1,4,1,0.64
p-0022,2,Bergs,brainteasers,0,1,0,0.22
p-0022,2,Bergs,brainteasers,0,4,1,0.3
p-0023,1,Bergs,brainteasers,1,1,0,0.35
p-0023,1,Bergs,brainteasers,1,4,1,0.1
p-0024,23,Switch,brainteasers,1,1,0,0.17
p-0024,23,Switch,brainteasers,1,4,1,0.77
p-0025,8,Internal Temperature of Stars,brainteasers,1,1,0,0.41
p-0025,8,Internal Temperature of Stars,brainteasers,1,4,1,0.42
p-0026,11,Little Red Dots,astrophysics,1,1,0,0.6
p-0026,11,Little Red Dots,astrophysics,1,4,1,0.2
p-0027,2,Bergs,brainteasers,0,1,0,0.4
p-0027,2,Bergs,brainteasers,0,4,1,0.5
p-0028,12,Little Red Dots,astrophysics,1,1,0,0.55
p-0028,12,Little Red Dots,astrophysics,1,4,1,0.65
p-0029,8,Internal Temperature of Stars,brainteasers,1,1,0,0.45
p-0029,8,Internal Temperature of Stars,brainteasers,1,4,1,0.75
p-0030,2,Bergs,brainteasers,0,1,0,0.3
p-0030,2,Bergs,brainteasers,0,4,1,0.9
p-0031,1,Bergs,brainteasers,1,1,0,0.93
p-0031,1,Bergs,brainteasers,1,4,1,0.8
p-0032,12,Little Red Dots,astrophysics,0,1,0,0.6
p-0032,12,Little Red Dots,astrophysics,0,4,1,0.75
p-0033,9,Large Linear Structure,astrophysics,1,1,0,0.4
p-0033,9,Large Linear Structure,astrophysics,1,4,1,0.76
p-0034,24,Switch,brainteasers,0,1,0,0.6
p-0034,24,Switch,brainteasers,0,4,1,0.55
p-0035,16,Database deletion,coding,0,1,0,0.45
p-0035,16,Database deletion,coding,0,4,1,0.2
p-0036,9,Large Linear Structure,astrophysics,0,1,0,0.34
p-0036,9,Large Linear Structure,astrophysics,0,4,1,0.75
p-0037,22,Probability puzzle,brainteasers,0,1,0,0.01
p-0037,22,Probability puzzle,brainteasers,0,4,1,0.01
p-0038,13,Rust,coding,1,1,0,0.65
p-0038,13,Rust,coding,1,4,1,0.15
p-0039,4,Early Universe Galaxies,astrophysics,0,1,0,0.55
p-0039,4,Early Universe Galaxies,astrophysics,0,4,1,0.55
p-0040,24,Switch,brainteasers,0,1,0,0.85
p-0040,24,Switch,brainteasers,0,4,1,0.9
p-0041,6,Graviational Lens Modelling,astrophysics,1,1,0,0.32
p-0041,6,Graviational Lens Modelling,astrophysics,1,4,1,0.77
p-0042,23,Switch,brainteasers,1,1,0,0.65
p-0042,23,Switch,brainteasers,1,4,1,0.75
p-0043,4,Early Universe Galaxies,astrophysics,0,1,0,0.8
p-0043,4,Early Universe Galaxies,astrophysics,0,4,1,0.8
p-0044,10,Large Linear Structure,astrophysics,0,1,0,0.4
p-0044,10,Large Linear Structure,astrophysics,0,4,1,0.42
p-0045,3,Early Universe Galaxies,astrophysics,1,1,0,0.55
p-0045,3,Early Universe Galaxies,astrophysics,1,4,1,0.32
p-0046,11,Little Red Dots,astrophysics,1,1,0,0.5
p-0046,11,Little Red Dots,astrophysics,1,4,1,0.6
p-0047,19,Prefix-sum,coding,0,1,0,0.63
p-0047,19,Prefix-sum,coding,0,4,1,0.95
p-0048,3,Early Universe Galaxies,astrophysics,0,1,0,0.5
p-0048,3,Early Universe Galaxies,astrophysics,0,4,1,0.6
p-0049,3,Early Universe Galaxies,astrophysics,0,1,0,0.65
p-0049,3,Early Universe Galaxies,astrophysics,0,4,1,0.75
p-0050,14,Rust,coding,0,1,0,0.63
p-0050,14,Rust,coding,0,4,1,0.31
p-0051,17,ORM library,coding,0,1,0,0.8
p-0051,17,ORM library,coding,0,4,1,0.8
p-0052,10,Large Linear Structure,astrophysics,1,1,0,0.45
p-0052,10,Large Linear Structure,astrophysics,1,4,1,0.7
p-0053,8,Internal Temperature of Stars,brainteasers,0,1,0,0.52
p-0053,8,Internal Temperature of Stars,brainteasers,0,4,1,0.6
p-0054,2,Bergs,brainteasers,1,1,0,0.34
p-0054,2,Bergs,brainteasers,1,4,1,0.35
p-0055,16,Database deletion,coding,1,1,0,0.35
p-0055,16,Database deletion,coding,1,4,1,0.33
p-0056,11,Little Red Dots,astrophysics,1,1,0,0.4
p-0056,11,Little Red Dots,astrophysics,1,4,1,0.45
p-0057,24,Switch,brainteasers,0,1,0,0.51
p-0057,24,Switch,brainteasers,0,4,1,0.59
p-0058,22,Probability puzzle,brainteasers,1,1,0,0.1
p-0058,22,Probability puzzle,brainteasers,1,4,1,0.14
p-0059,5,Graviational Lens Modelling,astrophysics,1,1,0,0.55
p-0059,5,Graviational Lens Modelling,astrophysics,1,4,1,0.57
p-0060,13,Rust,coding,0,1,0,0.5
p-0060,13,Rust,coding,0,4,1,0.94
p-0061,15,Database deletion,coding,0,1,0,0.45
p-0061,15,Database deletion,coding,0,4,1,0.4
