question,transcript_a,transcript_b,P_same_tier,within_q_diff_mean,within_q_diff_hdi_lo,within_q_diff_hdi_hi
Internal Temperature of Stars,7,8,0.9855,-0.3943235055345222,-0.8703495389587566,0.08691148579670616
Probability puzzle,21,22,0.947875,-0.5826499315922893,-1.101230238606714,-0.04580491790890262
Database deletion,15,16,0.516625,-0.11921929865942896,-0.6193301959859079,0.34850545794953036
Large Linear Structure,9,10,0.415875,-0.10252202153774356,-0.5890872308039083,0.3552136044686539
Rust,13,14,0.383875,0.3039618699752587,-0.18406856170930086,0.7785720973129061
ORM library,17,18,0.37,-0.04641875991212211,-0.5177461348172955,0.41855546946414535
Early Universe Galaxies,3,4,0.3285,-0.18884902059225334,-0.6450328156204688,0.28155275890676756
Little Red Dots,11,12,0.327875,-0.16606191190444775,-0.6366132223957481,0.33220705857467286
Graviational Lens Modelling,5,6,0.30625,-0.21723705483902436,-0.7159937062766427,0.2660138471918227
Bergs,1,2,0.248375,0.2628289938244341,-0.20197412133545772,0.7569913169294643
Prefix-sum,19,20,0.174125,-0.3835400931669561,-0.8752371219691726,0.11379440030227234
Switch,23,24,0.014375,0.7800861874214353,0.22858238885443158,1.3350511853327232
