question,transcript_a,transcript_b,P_same_tier,within_q_diff_mean,within_q_diff_hdi_lo,within_q_diff_hdi_hi
Internal Temperature of Stars,7,8,0.85125,-0.26400937902682586,-0.931859634774741,0.3265123767388814
Database deletion,15,16,0.7765,-0.20455117249905208,-0.8265170832070732,0.33532502971660216
Little Red Dots,11,12,0.520125,-0.11764744350078025,-0.7276331428770563,0.42537688682113556
Large Linear Structure,9,10,0.47975,-0.002383060457560677,-0.6004255963292345,0.5403621167600963
Graviational Lens Modelling,5,6,0.37625,-0.2002805918209191,-0.8216816365638346,0.3613631760068823
Prefix-sum,19,20,0.37125,-0.03201491383547629,-0.5843899574227371,0.5093269330524406
ORM library,17,18,0.360875,-0.06347833285476841,-0.6531632021679693,0.47968826830751593
Early Universe Galaxies,3,4,0.35475,-0.10860443926703205,-0.689510197433146,0.41890982346423367
Bergs,1,2,0.33925,0.1567618833616834,-0.3753433126985907,0.7174010548185705
Probability puzzle,21,22,0.24975,-0.3197771995811988,-1.001955155895749,0.2139541987277399
Rust,13,14,0.245125,0.3204463566134142,-0.2421042923035983,0.9572658009660702
Switch,23,24,0.145375,0.5488175224789047,-0.07050593792781878,1.2967412690993383
