question,transcript_a,transcript_b,P_same_tier,within_q_diff_mean,within_q_diff_hdi_lo,within_q_diff_hdi_hi
Internal Temperature of Stars,7,8,0.90975,-0.13503675840104212,-0.5542100897310756,0.261161047728351
Database deletion,15,16,0.658,-0.15727909893769992,-0.6091287048608905,0.23216045260928495
Bergs,1,2,0.352625,0.18337553106865737,-0.2176175578215515,0.6280266570610128
Large Linear Structure,9,10,0.33,0.015799037650255074,-0.3893612512740836,0.41310782177659494
Little Red Dots,11,12,0.325625,-0.029003840215195104,-0.44858862559770546,0.3727169374416557
ORM library,17,18,0.31525,0.10154704412710636,-0.2938009595207125,0.5160766070864585
Early Universe Galaxies,3,4,0.277625,-0.1409413886947251,-0.5701496535042707,0.2354164633914193
Graviational Lens Modelling,5,6,0.26675,-0.15387376299639732,-0.5960451219217171,0.24504952207839337
Prefix-sum,19,20,0.26625,-0.16336869149117111,-0.5984164641265428,0.24773399255937578
Rust,13,14,0.22825,0.24143829043158269,-0.18398336550085237,0.6682095172746767
Switch,23,24,0.120125,0.41903496078567415,-0.039740544804218736,0.9116480256328285
Probability puzzle,21,22,0.091,-0.4762277735573275,-0.9569859443889182,0.03761319020835424
