transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,P_tier4,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.6907159539624808,-1.3429462387999136,-0.0779683345674165,0.9825,0.017125,0.000375,0.0,1
8,Internal Temperature of Stars,brainteasers,-0.42670657493565056,-1.037817382680134,0.1630059696551281,0.862875,0.1205,0.015875,0.00075,1
11,Little Red Dots,astrophysics,-0.287680555392991,-0.938724352355055,0.34924335183506355,0.732375,0.22775,0.036125,0.00375,1
9,Large Linear Structure,astrophysics,-0.17675825967686135,-0.8227236109717331,0.44168965203922744,0.55775,0.345875,0.08625,0.010125,1
10,Large Linear Structure,astrophysics,-0.17437519921930023,-0.8102307899951067,0.47427651294209555,0.546125,0.351125,0.09275,0.01,1
12,Little Red Dots,astrophysics,-0.17003311189221046,-0.8286494558863335,0.45377843251520694,0.55025,0.33625,0.101125,0.012375,1
2,Bergs,brainteasers,-0.06874003835462661,-0.6237805595652991,0.48561887361787676,0.347875,0.463375,0.167375,0.021375,2
24,Switch,brainteasers,-0.027323118045576217,-0.6394735442059646,0.6463525001458015,0.320875,0.386125,0.223,0.07,2
3,Early Universe Galaxies,astrophysics,0.050373834668071535,-0.5564438096716751,0.6976845572526357,0.1845,0.44675,0.297,0.07175,2
14,Rust,coding,0.07573673656793198,-0.5947482939158013,0.7116291616438619,0.170875,0.392125,0.328125,0.108875,2
1,Bergs,brainteasers,0.08802184500705694,-0.47691240614918917,0.6379578533957931,0.151625,0.407875,0.3445,0.096,2
21,Probability puzzle,brainteasers,0.09538538811252506,-0.49911282606958896,0.6943653282088892,0.161625,0.376875,0.334375,0.127125,2
17,ORM library,coding,0.145632880184884,-0.4861960667148688,0.7581847698163873,0.1,0.34875,0.402125,0.149125,3
4,Early Universe Galaxies,astrophysics,0.15897827393510383,-0.43645016624243216,0.7824487592394647,0.081125,0.360125,0.413125,0.145625,3
18,ORM library,coding,0.20911121303965213,-0.37246983575446363,0.8732307212726986,0.065,0.286375,0.426625,0.222,3
19,Prefix-sum,coding,0.20943817106213125,-0.4163925439550857,0.8084939578906635,0.05575,0.280875,0.4545,0.208875,3
20,Prefix-sum,coding,0.24145308489760745,-0.41282542707143677,0.8309526184323927,0.04425,0.24275,0.450875,0.262125,3
5,Graviational Lens Modelling,astrophysics,0.2605592927443006,-0.40483608097151175,0.9046301069179817,0.051,0.232625,0.401375,0.315,3
13,Rust,coding,0.3961830931813447,-0.2397021493696746,1.0362640398234173,0.010625,0.11225,0.357,0.520125,4
22,Probability puzzle,brainteasers,0.4151625876937253,-0.16737680153718518,1.005693482622962,0.0115,0.109375,0.329,0.550125,4
6,Graviational Lens Modelling,astrophysics,0.46083988456521896,-0.19154748625726073,1.078761089167645,0.006,0.069125,0.291,0.633875,4
23,Switch,brainteasers,0.521494404433327,-0.07321893957452481,1.1481379017518778,0.004125,0.0575,0.234125,0.70425,4
15,Database deletion,coding,0.5710905914971336,-0.05468780457019877,1.2045602635027657,0.001375,0.0265,0.176125,0.796,4
16,Database deletion,coding,0.7756417639961894,0.15731225495551615,1.4355597781614242,0.0,0.002,0.03725,0.96075,4
