transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,P_tier4,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.32388384414775956,-0.6318335742042318,-0.014606644019980956,0.98525,0.01425,0.000375,0.000125,1
8,Internal Temperature of Stars,brainteasers,-0.2068240404693939,-0.5226359826122683,0.0714919770511862,0.887125,0.100125,0.011875,0.000875,1
9,Large Linear Structure,astrophysics,-0.09588660001199498,-0.41910220483463123,0.22122277398341028,0.620125,0.296625,0.073625,0.009625,1
10,Large Linear Structure,astrophysics,-0.09255275169673467,-0.42524512916636537,0.23322410104562283,0.61025,0.298625,0.079375,0.01175,1
11,Little Red Dots,astrophysics,-0.06504319155059578,-0.37546046381772596,0.25403877175386613,0.511125,0.3765,0.100875,0.0115,1
2,Bergs,brainteasers,-0.040962909232022025,-0.331554109403184,0.25458805498836645,0.421125,0.391125,0.15875,0.029,1
14,Rust,coding,-0.019589823952770497,-0.37612784052991866,0.3147767949476104,0.3585,0.3815,0.201125,0.058875,2
12,Little Red Dots,astrophysics,-0.00999135327534235,-0.33506045010582364,0.2897701448825009,0.31425,0.4495,0.203375,0.032875,2
24,Switch,brainteasers,0.013632550441169452,-0.30617718860477466,0.3179911930843051,0.2675,0.376875,0.261375,0.09425,2
21,Probability puzzle,brainteasers,0.020729122620062306,-0.3087496600851936,0.3196079219196088,0.253625,0.369875,0.271125,0.105375,2
17,ORM library,coding,0.05773492153772806,-0.2594808258901268,0.3735063332689766,0.13075,0.3895,0.358375,0.121375,2
1,Bergs,brainteasers,0.06203248340797419,-0.24476786194191066,0.3563570042579933,0.154875,0.359875,0.338625,0.146625,2
3,Early Universe Galaxies,astrophysics,0.08618732765377225,-0.23636557272704034,0.4113053736641661,0.09475,0.326875,0.390125,0.18825,3
5,Graviational Lens Modelling,astrophysics,0.10635558987743395,-0.21311966579832636,0.4217356890687276,0.06475,0.275375,0.4275,0.232375,3
18,ORM library,coding,0.10854805367965677,-0.21280905065299716,0.41958275988768484,0.060125,0.289375,0.418625,0.231875,3
13,Rust,coding,0.11500469338766064,-0.22875300907923415,0.4400027285919924,0.07675,0.25975,0.3955,0.268,3
19,Prefix-sum,coding,0.11729631581460849,-0.22291969175489226,0.4349578501076043,0.058875,0.2615,0.4005,0.279125,3
4,Early Universe Galaxies,astrophysics,0.1210229784974953,-0.18514677927376438,0.44024752236881215,0.041375,0.25225,0.442,0.264375,3
20,Prefix-sum,coding,0.17361309285507956,-0.15339345781999858,0.5301685459697402,0.029125,0.153,0.363375,0.4545,4
6,Graviational Lens Modelling,astrophysics,0.18033468401954272,-0.14491186706283724,0.5003799057654886,0.018875,0.13225,0.375375,0.4735,4
22,Probability puzzle,brainteasers,0.1896222511914969,-0.11557105286850505,0.5122507888876243,0.0305,0.146,0.322125,0.501375,4
23,Switch,brainteasers,0.24897276909622798,-0.054678277029333984,0.5751331310161804,0.007375,0.07025,0.237125,0.68525,4
15,Database deletion,coding,0.31271869731944535,-0.02800465586938683,0.6676060577391726,0.002625,0.027125,0.135,0.83525,4
16,Database deletion,coding,0.39668765329272043,0.06427636688133902,0.7448305907477719,0.000375,0.001875,0.033875,0.963875,4
