transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,P_tier4,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.44622214488537343,-0.8512046524573718,-0.03055913312984898,0.98575,0.013875,0.000375,0.0,1
8,Internal Temperature of Stars,brainteasers,-0.3111853864843298,-0.7298290569442433,0.06857768065489434,0.92075,0.073125,0.005875,0.00025,1
2,Bergs,brainteasers,-0.18894292400250015,-0.5892703745257554,0.2154616641652362,0.767875,0.200125,0.029875,0.002125,1
14,Rust,coding,-0.14685312008599982,-0.6073981276721967,0.29821232745285386,0.672625,0.26825,0.053625,0.0055,1
21,Probability puzzle,brainteasers,-0.014465187979742767,-0.4429794867949759,0.41928160209841725,0.3705,0.374875,0.203,0.051625,2
1,Bergs,brainteasers,-0.005567392933842457,-0.4160133147303905,0.4124687088033304,0.349125,0.4005,0.210125,0.04025,2
11,Little Red Dots,astrophysics,0.02044601978082928,-0.4107722710622128,0.48808500477044503,0.27,0.446375,0.237625,0.046,2
24,Switch,brainteasers,0.023613487562226834,-0.39790687844885153,0.46698159624239544,0.28825,0.387625,0.2475,0.076625,2
10,Large Linear Structure,astrophysics,0.034537114698851575,-0.4118598102839993,0.46713692329176026,0.24,0.4415,0.263125,0.055375,2
12,Little Red Dots,astrophysics,0.04944985999602423,-0.38865045536236226,0.49990414802685024,0.21475,0.438625,0.279625,0.067,2
9,Large Linear Structure,astrophysics,0.05033615234910695,-0.3866569411233277,0.4874297368160256,0.210375,0.43275,0.290375,0.0665,2
3,Early Universe Galaxies,astrophysics,0.0884643709886741,-0.361420545615616,0.5021294444762574,0.148125,0.397625,0.35525,0.099,2
13,Rust,coding,0.09458517034558264,-0.3651293990222934,0.5320014562412954,0.16025,0.36875,0.35675,0.11425,2
5,Graviational Lens Modelling,astrophysics,0.09878374075270399,-0.3457937850535292,0.549834913576487,0.137875,0.38125,0.364125,0.11675,2
19,Prefix-sum,coding,0.11564672555496576,-0.33657310907853677,0.5243292782298096,0.113,0.36,0.397625,0.129375,3
18,ORM library,coding,0.17587607192886956,-0.26948539304888114,0.611514031611986,0.058875,0.2755,0.43025,0.235375,3
4,Early Universe Galaxies,astrophysics,0.22940575968339938,-0.1960182413087699,0.6477373589131284,0.0235,0.18775,0.456875,0.331875,3
6,Graviational Lens Modelling,astrophysics,0.2526575037491011,-0.1960327914143135,0.6991445573971264,0.022375,0.176625,0.406875,0.394125,3
17,ORM library,coding,0.27742311605597486,-0.1636351215293273,0.6930431753737649,0.016625,0.124375,0.398625,0.460375,4
20,Prefix-sum,coding,0.2790154170461373,-0.1779046310209322,0.7185174259683949,0.02,0.132125,0.384125,0.46375,4
15,Database deletion,coding,0.37296485826866066,-0.07794395450122635,0.808712610785213,0.004,0.055125,0.251125,0.68975,4
23,Switch,brainteasers,0.4426484483479021,0.019133094963803027,0.8660873671934725,0.00225,0.02925,0.166625,0.801875,4
22,Probability puzzle,brainteasers,0.4617625855775851,0.046004940226957725,0.9280744958012823,0.003125,0.028625,0.145625,0.822625,4
16,Database deletion,coding,0.5302439572063604,0.08583389837056443,0.983243675637236,0.0,0.005375,0.065,0.929625,4
