# Tier means
tier,mean,hdi_lo,hdi_hi
1,-0.2676554131781518,-0.38693108149252825,-0.13175753805186605
2,-0.07488949197621235,-0.1878966055484823,0.03263314162141296
3,0.05969923568476677,-0.046018108660102454,0.1752734445503387
4,0.28330034110883207,0.16023382528138233,0.42166206807913476

# Adjacent-tier differences
tier_pair,diff_mean,diff_hdi_lo,diff_hdi_hi
2-1,0.19276592120194092,0.10605359775282092,0.280488496306976
3-2,0.13458872766097948,0.06665303991868196,0.2054153110890971
4-3,0.2236011054240672,0.12388748596618415,0.3216389378850904
