# Tier means
tier,mean,hdi_lo,hdi_hi
1,-0.18378897349129886,-0.4168482131638184,0.03624748437215384
2,0.0038011551151394644,-0.21756135854428058,0.23066115649154598
3,0.12296140626727428,-0.11227170623052322,0.3442996871314881
4,0.2996528571681287,0.0685665450631041,0.5513100949131896

# Adjacent-tier differences
tier_pair,diff_mean,diff_hdi_lo,diff_hdi_hi
2-1,0.18759012860643873,0.09781144500012656,0.2890858563711852
3-2,0.11916025115213551,0.05230955743121382,0.1922785204248457
4-3,0.17669145090085434,0.08581337344348056,0.2808450369228138
