# Tier means
tier,mean,hdi_lo,hdi_hi
1,-0.25473495210668984,-0.5671183365568343,0.03335368288862874
2,0.02081435270443369,-0.2987598043348368,0.3208478109722423
3,0.1963463453913791,-0.11667129256455692,0.5051653309209689
4,0.45167828793107195,0.12638487062004847,0.764715650308189

# Adjacent-tier differences
tier_pair,diff_mean,diff_hdi_lo,diff_hdi_hi
2-1,0.2755493048111237,0.14797252334575273,0.4047276270664689
3-2,0.17553199268694497,0.08372913365854219,0.275967886167791
4-3,0.25533194253969127,0.12034217138715404,0.39384636911932774
