transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.442724606547051,-0.7059319528828305,-0.1701243985215161,0.99775,0.00225,0.0,1
14,Rust,coding,-0.2207757562642786,-0.4894508888026951,0.019059341238258472,0.857875,0.13425,0.007875,1
8,Internal Temperature of Stars,brainteasers,-0.21383574852871418,-0.4706678636698394,0.023989609404094978,0.84675,0.147375,0.005875,1
2,Bergs,brainteasers,-0.18040574857657518,-0.42616851271730455,0.05802893922859797,0.769875,0.21925,0.010875,1
24,Switch,brainteasers,-0.15347226361265806,-0.4144782013650457,0.09373187974471416,0.686125,0.28375,0.030125,1
21,Probability puzzle,brainteasers,-0.1154679432111384,-0.34739994861111556,0.14541473230763238,0.569,0.382375,0.048625,1
11,Little Red Dots,astrophysics,-0.10984993252566756,-0.35886806129349397,0.1417096279747814,0.542875,0.403375,0.05375,1
19,Prefix-sum,coding,-0.07218620537965605,-0.3198440987312166,0.17183888952334722,0.422625,0.488625,0.08875,2
9,Large Linear Structure,astrophysics,-0.07203213507259348,-0.32378645332077954,0.1763104283824876,0.4145,0.494125,0.091375,2
3,Early Universe Galaxies,astrophysics,-0.05371743650438443,-0.30496056440651137,0.19640583886933263,0.353875,0.520875,0.12525,2
5,Graviational Lens Modelling,astrophysics,-0.040375901243650494,-0.2941698360230956,0.20764318675685664,0.31475,0.54,0.14525,2
10,Large Linear Structure,astrophysics,-0.03320173482623923,-0.28239774896920344,0.2103121275612465,0.29325,0.543875,0.162875,2
12,Little Red Dots,astrophysics,-0.020022687189766516,-0.2753647254565346,0.21557143341116178,0.248875,0.570875,0.18025,2
1,Bergs,brainteasers,-0.01906503926377313,-0.2647578530921455,0.21686940838805369,0.252125,0.558875,0.189,2
13,Rust,coding,0.024071261387991212,-0.22836686636682205,0.2581873966257637,0.148875,0.545625,0.3055,2
18,ORM library,coding,0.0432244435168305,-0.19736286902649933,0.2858184917144138,0.11075,0.5285,0.36075,2
17,ORM library,coding,0.06265596354685952,-0.17871402066391157,0.29625885736882857,0.0785,0.5,0.4215,2
4,Early Universe Galaxies,astrophysics,0.10927367135971978,-0.13382958759338204,0.35443947207789184,0.03825,0.368,0.59375,3
6,Graviational Lens Modelling,astrophysics,0.1363850217466433,-0.11693054825293427,0.3805180279833936,0.02525,0.289625,0.685125,3
15,Database deletion,coding,0.17083395349897593,-0.07640237090426802,0.43547390424235743,0.013875,0.210625,0.7755,3
20,Prefix-sum,coding,0.17408733308944818,-0.0790825732414686,0.4294427163252899,0.013,0.209,0.778,3
16,Database deletion,coding,0.30735556846992756,0.057733573037940904,0.5790182769839697,0.000625,0.0335,0.965875,3
22,Probability puzzle,brainteasers,0.3460371479512432,0.09238644524602833,0.608391816457094,0.00025,0.016875,0.982875,3
23,Switch,brainteasers,0.3759368040139125,0.12512643708414622,0.6444352569578014,0.000375,0.008375,0.99125,3
