transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.32388384414775956,-0.6318335742042318,-0.014606644019980956,0.9945,0.005375,0.000125,1
8,Internal Temperature of Stars,brainteasers,-0.2068240404693939,-0.5226359826122683,0.0714919770511862,0.943,0.054125,0.002875,1
9,Large Linear Structure,astrophysics,-0.09588660001199498,-0.41910220483463123,0.22122277398341028,0.76675,0.209125,0.024125,1
10,Large Linear Structure,astrophysics,-0.09255275169673467,-0.42524512916636537,0.23322410104562283,0.748875,0.225375,0.02575,1
11,Little Red Dots,astrophysics,-0.06504319155059578,-0.37546046381772596,0.25403877175386613,0.684875,0.286875,0.02825,1
2,Bergs,brainteasers,-0.040962909232022025,-0.331554109403184,0.25458805498836645,0.5815,0.35675,0.06175,1
14,Rust,coding,-0.019589823952770497,-0.37612784052991866,0.3147767949476104,0.503875,0.38925,0.106875,1
12,Little Red Dots,astrophysics,-0.00999135327534235,-0.33506045010582364,0.2897701448825009,0.488,0.4385,0.0735,1
24,Switch,brainteasers,0.013632550441169452,-0.30617718860477466,0.3179911930843051,0.399,0.438,0.163,2
21,Probability puzzle,brainteasers,0.020729122620062306,-0.3087496600851936,0.3196079219196088,0.3805,0.44325,0.17625,2
17,ORM library,coding,0.05773492153772806,-0.2594808258901268,0.3735063332689766,0.245,0.533,0.222,2
1,Bergs,brainteasers,0.06203248340797419,-0.24476786194191066,0.3563570042579933,0.265875,0.483375,0.25075,2
3,Early Universe Galaxies,astrophysics,0.08618732765377225,-0.23636557272704034,0.4113053736641661,0.1805,0.51025,0.30925,2
5,Graviational Lens Modelling,astrophysics,0.10635558987743395,-0.21311966579832636,0.4217356890687276,0.1335,0.494375,0.372125,2
18,ORM library,coding,0.10854805367965677,-0.21280905065299716,0.41958275988768484,0.128,0.493375,0.378625,2
13,Rust,coding,0.11500469338766064,-0.22875300907923415,0.4400027285919924,0.143875,0.448125,0.408,2
19,Prefix-sum,coding,0.11729631581460849,-0.22291969175489226,0.4349578501076043,0.120125,0.46125,0.418625,2
4,Early Universe Galaxies,astrophysics,0.1210229784974953,-0.18514677927376438,0.44024752236881215,0.09625,0.479,0.42475,2
20,Prefix-sum,coding,0.17361309285507956,-0.15339345781999858,0.5301685459697402,0.0605,0.338125,0.601375,3
6,Graviational Lens Modelling,astrophysics,0.18033468401954272,-0.14491186706283724,0.5003799057654886,0.0445,0.32725,0.62825,3
22,Probability puzzle,brainteasers,0.1896222511914969,-0.11557105286850505,0.5122507888876243,0.06325,0.30125,0.6355,3
23,Switch,brainteasers,0.24897276909622798,-0.054678277029333984,0.5751331310161804,0.021,0.179625,0.799375,3
15,Database deletion,coding,0.31271869731944535,-0.02800465586938683,0.6676060577391726,0.006375,0.08925,0.904375,3
16,Database deletion,coding,0.39668765329272043,0.06427636688133902,0.7448305907477719,0.000375,0.015125,0.9845,3
