question,transcript_a,transcript_b,P_same_tier,within_q_diff_mean,within_q_diff_hdi_lo,within_q_diff_hdi_hi
Internal Temperature of Stars,7,8,0.84525,-0.22888885801833464,-0.537026387835236,0.08252001755157146
Database deletion,15,16,0.7565,-0.13652161497095233,-0.458644957994078,0.16535101047787237
Large Linear Structure,9,10,0.386125,-0.038830400246354264,-0.3436010179889607,0.2813946004601837
ORM library,17,18,0.381875,0.019431520030028692,-0.29169316597782785,0.31235496867778423
Little Red Dots,11,12,0.352375,-0.08982724533590129,-0.39708923491551684,0.20754371758538162
Bergs,1,2,0.301,0.161340709312802,-0.14522645760553446,0.4647711098558141
Early Universe Galaxies,3,4,0.262625,-0.16299110786410426,-0.48950135256480143,0.1379456708061351
Graviational Lens Modelling,5,6,0.241125,-0.1767609229902944,-0.49129494968696624,0.1342813586405048
Rust,13,14,0.2,0.24484701765226993,-0.06859811662133031,0.5509336540218788
Prefix-sum,19,20,0.16525,-0.2462735384691049,-0.5654840447786083,0.07020900923435308
Probability puzzle,21,22,0.05225,-0.4615050911623806,-0.7976757364845853,-0.1373180918284838
Switch,23,24,0.030875,0.5294090676265721,0.18687031282242345,0.862000351819008
